iter	Passed	Remaining
767	98566	29775
768	98692	29646
769	98817	29516
770	98936	29385
771	99057	29255
772	99175	29123
773	99300	28994
774	99420	28863
775	99544	28734
776	99661	28603
777	99784	28473
778	99902	28342
779	100024	28212
780	100149	28082
781	100276	27954
782	100393	27822
783	100514	27692
784	100636	27562
785	100757	27432
786	100878	27302
787	101001	27173
788	101120	27042
789	101240	26911
790	101359	26781
791	101481	26651
792	101600	26521
793	101725	26392
794	101845	26262
795	101968	26132
796	102086	26001
797	102211	25873
798	102333	25743
799	102461	25615
800	102584	25486
801	102713	25358
802	102834	25228
803	102961	25100
804	103082	24970
805	103203	24840
806	103323	24710
807	103444	24580
808	103566	24451
809	103687	24321
810	103806	24191
811	103928	24062
812	104048	23932
813	104174	23804
814	104294	23674
815	104416	23544
816	104537	23415
817	104667	23287
818	104789	23158
819	104912	23029
820	105032	22899
821	105155	22770
822	105381	22664
823	105541	22542
824	105665	22413
825	105784	22283
826	105911	22155
827	106044	22028
828	106170	21900
829	106289	21770
830	106420	21642
831	106541	21513
832	106669	21385
833	106788	21255
834	106913	21126
835	107031	20996
836	107151	20867
837	107272	20737
838	107395	20608
839	107512	20478
840	107631	20348
841	107752	20219
842	107881	20091
843	108030	19967
844	108162	19840
845	108283	19711
846	108409	19582
847	108528	19453
848	108656	19325
849	108785	19197
850	108918	19070
851	109041	18941
852	109163	18812
853	109285	18683
854	109408	18554
855	109530	18425
856	109652	18296
857	109772	18167
858	109896	18038
859	110017	17909
860	110144	17781
861	110267	17653
862	110390	17524
863	110510	17395
864	110632	17266
865	110754	17137
866	110879	17009
867	110998	16879
868	111121	16751
869	111243	16622
870	111368	16494
871	111488	16365
872	111609	16236
873	111732	16107
874	111856	15979
875	111979	15850
876	112105	15722
877	112226	15594
878	112352	15466
879	112471	15336
880	112593	15208
881	112713	15079
882	112835	14951
883	112960	14822
884	113087	14694
885	113213	14567
886	113336	14438
887	113457	14309
888	113580	14181
889	113704	14053
890	113826	13924
891	113947	13796
892	114071	13668
893	114194	13539
894	114321	13411
895	114443	13283
896	114568	13155
897	114690	13027
898	114816	12899
899	114941	12771
900	115063	12642
901	115189	12515
902	115312	12386
903	115434	12258
904	115555	12130
905	115677	12001
906	115800	11873
907	115919	11745
908	116042	11617
909	116164	11488
910	116288	11360
911	116411	11232
912	116538	11104
913	116663	10977
914	116784	10848
915	116944	10724
916	117073	10596
917	117193	10468
918	117316	10340
919	117436	10211
920	117565	10084
921	117684	9955
922	117807	9827
923	117927	9699
924	118053	9571
925	118176	9443
926	118301	9316
927	118427	9188
928	118552	9060
929	118674	8932
930	118800	8804
931	119019	8683
932	119178	8558
933	119297	8430
934	119417	8301
935	119544	8173
936	119665	8045
937	119789	7917
938	119909	7789
939	120033	7661
940	120157	7533
941	120278	7405
942	120395	7277
943	120517	7149
944	120640	7021
945	120764	6893
946	120884	6765
947	121008	6637
948	121129	6509
949	121250	6381
950	121369	6253
951	121493	6125
952	121611	5997
953	121735	5869
954	121862	5742
955	121988	5614
956	122110	5486
957	122239	5359
958	122361	5231
959	122489	5103
960	122611	4975
961	122738	4848
962	122859	4720
963	122983	4592
964	123101	4464
965	123223	4337
966	123341	4209
967	123469	4081
968	123587	3953
969	123711	3826
970	123830	3698
971	123952	3570
972	124071	3442
973	124194	3315
974	124314	3187
975	124437	3059
976	124557	2932
977	124680	2804
978	124801	2677
979	124926	2549
980	125046	2421
981	125180	2294
982	125327	2167
983	125452	2039
984	125581	1912
985	125704	1784
986	125835	1657
987	125955	1529
988	126082	1402
989	126204	1274
990	126325	1147
991	126451	1019
992	126573	892
993	126697	764
994	126821	637
995	126944	509
996	127064	382
997	127190	254
998	127309	127
999	127433	0
